no,id,listingType,type,parentType,price,currency,basePrice,baseCurrency,roomCount,livingRoomCount,roomSlug,size,cityId,cityName,countyId,countyName,districtId,districtName
394000,1927476,Sale,Daire,Konut,260000,TRY,260000,TRY,2,1,2 + 1,115,15241,Denizli,15957,Merkezefendi,15984,Değirmenönü
394001,1866595,Rent,Daire,Konut,650,TRY,650,TRY,2,1,2 + 1,90,3960,Antalya,4684,Korkuteli,4695,Kiremitli
394002,1123415,Sale,Tarla,Arsa,170000,TRY,170000,TRY,,,,4100,6253,Kocaeli,6357,Gebze,6388,Hatipler
394003,1545618,Sale,Konut İmarlı,Arsa,525000,TRY,525000,TRY,,,,158,2554,İzmir,2907,Buca,2934,Laleli
394004,1447456,Sale,Daire,Konut,140000,TRY,140000,TRY,1,1,1 + 1,50,2554,İzmir,2907,Buca,2910,Atatürk
394005,1194514,Sale,Daire,Konut,125000,TRY,125000,TRY,3,1,3 + 1,120,6253,Kocaeli,6661,Karamürsel,6690,4 Temmuz
394006,1459284,Sale,Daire,Konut,215000,TRY,215000,TRY,2,1,2 + 1,130,3960,Antalya,4065,Alanya,4180,Oba
394007,2146238,Sale,Daire,Konut,243000,TRY,243000,TRY,3,1,3 + 1,175,28777,Malatya,29593,Yeşilyurt,29602,Çukurdere
394008,1970423,Sale,Daire,Konut,185000,TRY,185000,TRY,6,2,6 + 2,260,1012,Ankara,2419,Sincan,2479,Fevzi Çakmak
394009,1877203,Sale,Okul (Eğitim Tesisi),Arsa,25500,TRY,25500,TRY,,,,150,1012,Ankara,1565,Etimesgut,1589,Yapracık
394010,1761736,Sale,Daire,Konut,1600000,TRY,1600000,TRY,4,2,4 + 2,300,1,İstanbul,448,Fatih,468,Haseki Sultan
394011,2042751,Sale,Daire,Konut,142900,TRY,142900,TRY,3,1,3 + 1,135,26630,Konya,27615,Karatay,27630,Kalenderhane
394012,1373518,Rent,Daire,Konut,750,TRY,750,TRY,1,1,1 + 1,50,2554,İzmir,2907,Buca,2908,Adatepe
394013,1825671,Rent,Daire,Konut,1500,TRY,1500,TRY,4,1,4 + 1,200,41649,Trabzon,42456,Ortahisar,42473,Karşıyaka
394014,1261556,Sale,Villa,Konut,750000,TRY,750000,TRY,2,1,2 + 1,110,32637,Muğla,32638,Bodrum,32685,Gündoğan
394015,1627512,Sale,Daire,Konut,95000,TRY,95000,TRY,2,1,2 + 1,75,35966,Sakarya,36419,Karasu,36423,Aziziye
394016,1752433,Sale,Daire,Konut,299000,TRY,299000,TRY,3,1,3 + 1,150,5092,Bursa,5969,Osmangazi,6021,Yunuseli
394017,1341431,Sale,Daire,Konut,215000,TRY,215000,TRY,2,1,2 + 1,95,6253,Kocaeli,6455,İzmit,6527,Yeşilova
394018,1958914,Sale,Daire,Konut,220000,TRY,220000,TRY,3,1,3 + 1,145,26208,Kırklareli,26331,Kırklareli Merkez,70529,Karakaş
394019,1510089,Sale,Müstakil Ev,Konut,770000,TRY,770000,TRY,8,1,8 + 1,1040,35966,Sakarya,36052,Akyazı,36066,Yunus Emre
