no,id,listingType,type,parentType,price,currency,basePrice,baseCurrency,roomCount,livingRoomCount,roomSlug,size,cityId,cityName,countyId,countyName,districtId,districtName
317000,2101649,Sale,Villa,Konut,450000,TRY,450000,TRY,3,1,3 + 1,200,10423,Aydın,10576,Didim,10585,Hisar
317001,1256664,Sale,Dükkan / Mağaza,İşyeri,1690000,TRY,1690000,TRY,,,,860,6826,Adana,7452,Seyhan,7512,Fevzipaşa
317002,2234184,Rent,Müstakil Ev,Konut,800,TRY,800,TRY,3,1,3 + 1,160,6826,Adana,7452,Seyhan,7543,Yeşilyurt
317003,906009,Sale,Daire,Konut,265000,TRY,265000,TRY,5,1,5 + 1,145,1012,Ankara,2071,Mamak,2086,Başak
317004,2146517,Sale,Daire,Konut,135000,TRY,135000,TRY,1,1,1 + 1,60,10423,Aydın,10576,Didim,10579,Efeler
317005,1782254,Sale,Müstakil Ev,Konut,298000,TRY,298000,TRY,5,2,5 + 2,390,25014,Kayseri,25196,Hacılar,25202,Akdam
317006,1745132,Sale,Dükkan / Mağaza,İşyeri,2000000,TRY,2000000,TRY,,,,65,1,İstanbul,843,Şişli,848,Fulya
317007,1948880,Sale,Daire,Konut,190000,TRY,190000,TRY,2,1,2 + 1,85,2554,İzmir,3729,Seferihisar,3733,Camikebir
317008,1270271,Sale,Bahçe,Arsa,165000,TRY,165000,TRY,,,,850,11210,Balıkesir,11455,Burhaniye,11480,Pelitköy
317009,2209307,Rent,Daire,Konut,1200,TRY,1200,TRY,3,1,3 + 1,145,1012,Ankara,1565,Etimesgut,1588,Şeyh Şamil
317010,288450,Sale,Dükkan / Mağaza,İşyeri,1900000,TRY,1900000,TRY,,,,250,1,İstanbul,625,Maltepe,637,Zümrütevler
317011,2242754,Rent,Villa,Konut,2500,TRY,2500,TRY,4,1,4 + 1,185,6253,Kocaeli,6704,Kartepe,6779,Maşukiye
317012,2082551,Sale,Daire,Konut,6500000,TRY,6500000,TRY,3,1,3 + 1,164,1,İstanbul,998,Zeytinburnu,1009,Kazlıçeşme
317013,1851417,Sale,Tarla,Arsa,180000,TRY,180000,TRY,,,,1000,32637,Muğla,33102,Ortaca,33123,Gölbaşı
317014,1944976,Sale,Daire,Konut,118000,TRY,118000,TRY,2,1,2 + 1,90,3960,Antalya,4574,Kepez,4598,Gündoğdu
317015,2062265,Sale,Daire,Konut,170000,TRY,170000,TRY,3,1,3 + 1,135,19584,Eskişehir,19836,Odunpazarı,19840,Akarbaşı
317016,1640641,Sale,Daire,Konut,420000,TRY,420000,TRY,5,1,5 + 1,220,43620,Yalova,43684,Yalova Merkez,70310,İsmet Paşa
317017,2129647,Sale,Daire,Konut,170000,TRY,170000,TRY,3,1,3 + 1,150,1,İstanbul,67,Avcılar,72,Mustafa Kemal Paşa
317018,1870612,Rent,Daire,Konut,1900,TRY,1900,TRY,3,1,3 + 1,150,32637,Muğla,32917,Marmaris,32923,Kemeraltı
317019,1507099,Daily Rent,Daire,Konut,45,TRY,45,TRY,1,1,1 + 1,55,2554,İzmir,2907,Buca,2923,Dumlupınar
317020,1428255,Sale,Daire,Konut,435000,TRY,435000,TRY,4,1,4 + 1,250,35966,Sakarya,36626,Serdivan,36636,Kemalpaşa
317021,684489,Sale,Daire,Konut,750000,TRY,750000,TRY,4,1,4 + 1,225,1,İstanbul,229,Beylikdüzü,236,Adnan Kahveci
