no,id,listingType,type,parentType,price,currency,basePrice,baseCurrency,roomCount,livingRoomCount,roomSlug,size,cityId,cityName,countyId,countyName,districtId,districtName
290000,1992524,Sale,Daire,Konut,750000,TRY,750000,TRY,3,1,3 + 1,145,1,İstanbul,229,Beylikdüzü,234,Kavaklı
290001,1904252,Sale,Daire,Konut,165000,TRY,165000,TRY,2,1,2 + 1,90,1,İstanbul,394,Esenyurt,45884,Yunus Emre
290002,1445631,Rent,Daire,Konut,1350,TRY,1350,TRY,2,1,2 + 1,105,6826,Adana,7452,Seyhan,7535,Çınarlı
290003,2030116,Rent,Daire,Konut,1350,TRY,1350,TRY,3,2,3 + 2,160,1,İstanbul,580,Kartal,73130,Uğur Mumcu
290004,1408186,Sale,Daire,Konut,799000,TRY,799000,TRY,4,1,4 + 1,320,31676,Mersin,32601,Yenişehir,32607,Fuatmorel
290005,1817479,Rent,Daire,Konut,3000,TRY,3000,TRY,3,1,3 + 1,125,1,İstanbul,537,Kadıköy,548,Acıbadem
290006,1957538,Sale,Daire,Konut,259000,TRY,259000,TRY,3,1,3 + 1,115,6253,Kocaeli,6357,Gebze,6373,Mustafapaşa
290007,2233969,Sale,Tarla,Arsa,3350000,TRY,3350000,TRY,,,,185000,29689,Manisa,30083,Gördes,30090,Atatürk
290008,2077699,Sale,Daire,Konut,565000,TRY,565000,TRY,3,1,3 + 1,120,1,İstanbul,926,Ümraniye,958,Mehmet Akif
290009,2058585,Sale,Daire,Konut,475000,TRY,475000,TRY,2,1,2 + 1,100,32637,Muğla,32917,Marmaris,32924,Siteler
290010,1519552,Sale,Daire,Konut,380000,TRY,380000,TRY,3,1,3 + 1,125,2554,İzmir,3366,Konak,3369,Altıntaş
290011,2298917,Sale,Müstakil Ev,Konut,135000,TRY,135000,TRY,2,1,2 + 1,150,11210,Balıkesir,11609,Edremit,11621,Tuzcumurat
290012,2202113,Sale,Daire,Konut,395000,TRY,395000,TRY,4,1,4 + 1,165,8229,Afyonkarahisar,8669,Afyonkarahisar Merkez,69694,Dumlupınar
290013,2270058,Sale,Müstakil Ev,Konut,90000,TRY,90000,TRY,2,1,2 + 1,112,28229,Kütahya,28473,Kütahya Merkez,70564,Evliya Çelebi
290014,1632266,Sale,Daire,Konut,205000,TRY,205000,TRY,3,1,3 + 1,115,10423,Aydın,10831,Kuşadası,10842,Kadınlar Denizi
290015,1538795,Sale,Daire,Konut,210000,TRY,210000,TRY,2,1,2 + 1,83,10423,Aydın,10576,Didim,10581,Altınkum
290016,1728871,Sale,Bağ,Arsa,80000,TRY,80000,TRY,,,,2950,8229,Afyonkarahisar,8669,Afyonkarahisar Merkez,72898,Güvenevler
290017,2004837,Daily Rent,Daire,Konut,50,TRY,50,TRY,1,1,1 + 1,82,1,İstanbul,229,Beylikdüzü,236,Adnan Kahveci
290018,638568,Sale,Daire,Konut,600000,TRY,600000,TRY,4,1,4 + 1,137,1,İstanbul,903,Tuzla,922,Postane
290019,1385143,Sale,Daire,Konut,350000,TRY,350000,TRY,3,1,3 + 1,135,40100,Sivas,40310,Sivas Merkez,72149,Mehmet Akif Ersoy
290020,1278144,Sale,Daire,Konut,120000,TRY,120000,TRY,2,1,2 + 1,90,40596,Tekirdağ,40626,Çorlu,40632,Hıdırağa
290021,1748844,Rent,Daire,Konut,990,TRY,990,TRY,1,1,1 + 1,75,2554,İzmir,2989,Çiğli,2994,Balatçık
290022,1481539,Sale,Daire,Konut,310000,TRY,310000,TRY,3,1,3 + 1,140,34286,Ordu,34464,Fatsa,34544,Dolunay
290023,2246156,Sale,Daire,Konut,200000,TRY,200000,TRY,2,1,2 + 1,95,43620,Yalova,43684,Yalova Merkez,70311,Fevzi Çakmak
290024,1660732,Sale,Konut İmarlı,Arsa,6850000,TRY,6850000,TRY,,,,5050,29689,Manisa,30838,Yunusemre,30858,Güzelyurt
290025,1802745,Rent,Daire,Konut,900,TRY,900,TRY,1,1,1 + 1,55,36701,Samsun,36803,Atakum,36826,Yenimahalle
290026,2142408,Rent,Daire,Konut,2000,TRY,2000,TRY,2,1,2 + 1,100,2554,İzmir,2589,Balçova,2592,Korutürk
290027,2218793,Sale,Daire,Konut,450000,TRY,450000,TRY,3,1,3 + 1,130,1,İstanbul,67,Avcılar,72,Mustafa Kemal Paşa
290028,2014604,Sale,Daire,Konut,235000,TRY,235000,TRY,2,1,2 + 1,85,1,İstanbul,507,Gaziosmanpaşa,511,Karlıtepe
290029,2030102,Sale,Daire,Konut,92000,TRY,92000,TRY,1,1,1 + 1,58,28229,Kütahya,28473,Kütahya Merkez,69874,Meydan
290030,2211438,Rent,Villa,Konut,3000,TRY,3000,TRY,3,1,3 + 1,165,3960,Antalya,4816,Manavgat,4895,Çolaklı
290031,1420344,Sale,Daire,Konut,4500000,TRY,4500000,TRY,4,1,4 + 1,205,1,İstanbul,156,Beşiktaş,161,Ortaköy
290032,1719251,Rent,Daire,Konut,1000,TRY,1000,TRY,3,1,3 + 1,110,1,İstanbul,644,Pendik,661,Çamçeşme
290033,1890418,Sale,Daire,Konut,335000,TRY,335000,TRY,4,1,4 + 1,220,26630,Konya,27935,Selçuklu,28037,Yazır
290034,696296,Sale,Daire,Konut,1350000,TRY,1350000,TRY,4,1,4 + 1,230,1,İstanbul,537,Kadıköy,540,Kozyatağı
290035,1694117,Sale,Daire,Konut,148000,TRY,148000,TRY,3,1,3 + 1,110,1012,Ankara,2419,Sincan,2422,Atatürk
290036,706682,Sale,Daire,Konut,105000,TRY,105000,TRY,2,1,2 + 1,108,10423,Aydın,10909,Nazilli,10928,Yıldıztepe
290037,1318296,Sale,Daire,Konut,177000,TRY,177000,TRY,2,1,2 + 1,90,1,İstanbul,394,Esenyurt,400,Talatpaşa
290038,1987272,Rent,Daire,Konut,600,TRY,600,TRY,1,1,1 + 1,50,10423,Aydın,10576,Didim,10582,Cumhuriyet
290039,2059688,Sale,Konut İmarlı,Arsa,50000,TRY,50000,TRY,,,,260,1,İstanbul,806,Silivri,827,Balaban
290040,1754577,Sale,Daire,Konut,400000,TRY,400000,TRY,2,1,2 + 1,75,2554,İzmir,2860,Bornova,2867,Yeşilova
290041,1982033,Sale,Daire,Konut,200000,TRY,200000,TRY,3,1,3 + 1,110,10423,Aydın,10831,Kuşadası,10842,Kadınlar Denizi
290042,1177520,Sale,Villa,Konut,750000,TRY,750000,TRY,2,1,2 + 1,150,3960,Antalya,4491,Kaş,4521,Kalkan
290043,1348942,Sale,Daire,Konut,450000,TRY,450000,TRY,4,2,4 + 2,190,1,İstanbul,887,Sultangazi,893,Esentepe
290044,2247863,Rent,Daire,Konut,1250,TRY,1250,TRY,2,1,2 + 1,80,1,İstanbul,377,Esenler,389,Nine Hatun
