no,id,listingType,type,parentType,price,currency,basePrice,baseCurrency,roomCount,livingRoomCount,roomSlug,size,cityId,cityName,countyId,countyName,districtId,districtName
71000,1941442,Sale,Daire,Konut,395000,TRY,395000,TRY,4,1,4 + 1,140,1,İstanbul,101,Bahçelievler,109,Soğanlı
71001,1751608,Sale,Daire,Konut,245000,TRY,245000,TRY,3,1,3 + 1,120,19584,Eskişehir,19836,Odunpazarı,19864,Emek
71002,2103756,Sale,Daire,Konut,219000,TRY,219000,TRY,3,1,3 + 1,130,1012,Ankara,1912,Keçiören,1926,Uyanış
71003,1614428,Sale,Daire,Konut,235000,TRY,235000,TRY,4,1,4 + 1,210,28777,Malatya,28986,Battalgazi,29018,İstiklal
71004,1124822,Sale,Daire,Konut,480000,TRY,480000,TRY,3,1,3 + 1,140,1,İstanbul,229,Beylikdüzü,234,Kavaklı
71005,1664212,Sale,Daire,Konut,310000,TRY,310000,TRY,2,1,2 + 1,105,2554,İzmir,3183,Karşıyaka,3203,Tersane
71006,807788,Rent,Rezidans,Konut,3250,TRY,3250,TRY,2,1,2 + 1,97,1,İstanbul,101,Bahçelievler,111,Çobançeşme
71007,550565,Sale,Daire,Konut,360000,TRY,360000,TRY,3,1,3 + 1,160,2554,İzmir,3102,Karabağlar,3133,Reis
71008,2079720,Rent,Daire,Konut,2200,TRY,2200,TRY,3,1,3 + 1,110,32637,Muğla,32638,Bodrum,32639,Ortakentyahşi
71009,1488288,Rent,Dükkan / Mağaza,İşyeri,80000,TRY,80000,TRY,,,,85,1,İstanbul,229,Beylikdüzü,236,Adnan Kahveci
71010,2193077,Rent,Ofis,İşyeri,1650,TRY,1650,TRY,2,1,2 + 1,80,1,İstanbul,113,Bakırköy,119,Osmaniye
71011,1657665,Sale,Daire,Konut,160000,TRY,160000,TRY,3,1,3 + 1,142,36701,Samsun,37059,Canik,37110,Kuzey Yıldızı
71012,1950404,Sale,Daire,Konut,267000,TRY,267000,TRY,2,1,2 + 1,100,1,İstanbul,101,Bahçelievler,104,Bahçelievler
71013,1813381,Rent,Daire,Konut,1250,TRY,1250,TRY,2,1,2 + 1,75,32637,Muğla,32886,Köyceğiz,32889,Ulucami
71014,1845964,Rent,Daire,Konut,500,TRY,500,TRY,2,1,2 + 1,100,40596,Tekirdağ,40597,Çerkezköy,40623,Kızılpınar
71015,1914466,Sale,Daire,Konut,335000,TRY,335000,TRY,1,0,1 + 0,65,2554,İzmir,2860,Bornova,2878,Kazımdirik
71016,1960310,Sale,Müstakil Ev,Konut,2650000,TRY,2650000,TRY,3,2,3 + 2,125,32637,Muğla,32638,Bodrum,32702,Yalıkavak
71017,1929045,Sale,Dükkan / Mağaza,İşyeri,300000,TRY,300000,TRY,,,,50,25014,Kayseri,25245,Kocasinan,25319,Gevhernesibe
71018,1501404,Sale,Daire,Konut,195000,TRY,195000,TRY,1,1,1 + 1,70,1012,Ankara,1565,Etimesgut,1579,Bağlıca
71019,1816816,Sale,Daire,Konut,299000,TRY,299000,TRY,2,1,2 + 1,100,1,İstanbul,580,Kartal,590,Topselvi
71020,2269810,Sale,Villa,Konut,950000,TRY,950000,TRY,3,1,3 + 1,160,2554,İzmir,2957,Çeşme,2978,Şifne
71021,1927508,Rent,Daire,Konut,650,TRY,650,TRY,1,1,1 + 1,40,15241,Denizli,15759,Pamukkale,15770,İncilipınar
71022,2119566,Rent,Daire,Konut,1250,TRY,1250,TRY,4,1,4 + 1,210,25014,Kayseri,25366,Melikgazi,25413,Alpaslan
71023,2080089,Sale,Müstakil Ev,Konut,1200000,TRY,1200000,TRY,3,1,3 + 1,100,2554,İzmir,3161,Karaburun,3164,İskele
71024,1750194,Sale,Daire,Konut,200000,TRY,200000,TRY,2,1,2 + 1,95,2554,İzmir,3858,Torbalı,3868,Fevzi Çakmak
71025,1755710,Sale,Daire,Konut,285000,TRY,285000,TRY,3,1,3 + 1,140,22677,Isparta,22847,Isparta Merkez,70335,Davraz
71026,1982611,Sale,Daire,Konut,131500,TRY,131500,TRY,1,1,1 + 1,57,1,İstanbul,131,Başakşehir,141,Bahçeşehir 2. Kısım
71027,2110251,Sale,Daire,Konut,145000,TRY,145000,TRY,1,1,1 + 1,55,2554,İzmir,3183,Karşıyaka,3193,Nergiz
71028,701195,Sale,Villa,Konut,380000,TRY,380000,TRY,3,1,3 + 1,130,35966,Sakarya,36419,Karasu,36424,Yalı
71029,1772317,Rent,Daire,Konut,1300,TRY,1300,TRY,2,1,2 + 1,90,32637,Muğla,33294,Menteşe,33307,Orhaniye
71030,2037500,Sale,Villa,Konut,1100000,TRY,1100000,TRY,4,1,4 + 1,240,32637,Muğla,32917,Marmaris,32919,Çamdibi
71031,2096796,Rent,Daire,Konut,1500,TRY,1500,TRY,1,1,1 + 1,53,1,İstanbul,703,Sarıyer,713,Ayazağa
71032,2208892,Rent,Daire,Konut,1000,TRY,1000,TRY,3,1,3 + 1,135,1012,Ankara,1565,Etimesgut,1588,Şeyh Şamil
71033,2195436,Sale,Daire,Konut,200000,TRY,200000,TRY,4,1,4 + 1,368,26630,Konya,27935,Selçuklu,27945,İhsaniye
71034,1961735,Rent,Daire,Konut,2600,TRY,2600,TRY,3,1,3 + 1,145,1,İstanbul,448,Fatih,468,Haseki Sultan
71035,2201457,Sale,Yazlık,Konut,350000,TRY,350000,TRY,2,1,2 + 1,86,32637,Muğla,32956,Milas,32992,Boğaziçi
71036,1816215,Sale,Daire,Konut,625000,TRY,625000,TRY,2,1,2 + 1,85,1,İstanbul,113,Bakırköy,118,Kartaltepe
71037,1585571,Rent,Dükkan / Mağaza,İşyeri,6500,TRY,6500,TRY,,,,400,1,İstanbul,887,Sultangazi,901,Malkoçoğlu
71038,1688951,Rent,Daire,Konut,900,TRY,900,TRY,3,1,3 + 1,190,15241,Denizli,15759,Pamukkale,15773,Kervansaray
71039,1546035,Sale,Bağ,Arsa,170000,TRY,170000,TRY,,,,6000,2554,İzmir,3102,Karabağlar,3159,Kavacık
71040,688761,Sale,Villa,Konut,500000,TRY,500000,TRY,4,2,4 + 2,270,3960,Antalya,4226,Döşemealtı,4228,Altınkale
71041,1529683,Sale,Daire,Konut,740000,TRY,740000,TRY,2,1,2 + 1,135,1,İstanbul,229,Beylikdüzü,232,Cumhuriyet
71042,1882397,Sale,Daire,Konut,318000,TRY,318000,TRY,1,1,1 + 1,48,1,İstanbul,537,Kadıköy,547,Sahrayı Cedit
71043,2097056,Sale,Dükkan / Mağaza,İşyeri,1000000,TRY,1000000,TRY,,,,18,5092,Bursa,5969,Osmangazi,6060,Tuzpazarı
71044,2258352,Sale,Dükkan / Mağaza,İşyeri,415000,TRY,415000,TRY,,,,35,1,İstanbul,131,Başakşehir,133,Başakşehir
71045,1844491,Sale,Daire,Konut,82000,TRY,82000,TRY,3,1,3 + 1,120,18260,Erzurum,19081,Palandöken,75800,Hüseyin Avni Ulaş
71046,1192476,Rent,Daire,Konut,1200,TRY,1200,TRY,3,1,3 + 1,100,1012,Ankara,1322,Çankaya,1413,Fakülteler
71047,694520,Sale,Tarla,Arsa,175000,TRY,175000,TRY,,,,6012,6253,Kocaeli,6560,Kandıra,6570,Çalyer
71048,1529346,Sale,Daire,Konut,415000,TRY,415000,TRY,3,1,3 + 1,110,1,İstanbul,625,Maltepe,628,Altayçeşme
71049,1708352,Rent,Daire,Konut,1250,TRY,1250,TRY,3,1,3 + 1,150,2554,İzmir,2907,Buca,2914,Yenigün
71050,1887402,Sale,Daire,Konut,480000,TRY,480000,TRY,3,1,3 + 1,165,1012,Ankara,1565,Etimesgut,1579,Bağlıca
