no,id,listingType,type,parentType,price,currency,basePrice,baseCurrency,roomCount,livingRoomCount,roomSlug,size,cityId,cityName,countyId,countyName,districtId,districtName
221000,1934971,Sale,Daire,Konut,485000,TRY,485000,TRY,4,1,4 + 1,260,28777,Malatya,29593,Yeşilyurt,29657,Bostanbaşı
221001,1309172,Sale,Daire,Konut,147000,TRY,147000,TRY,3,1,3 + 1,190,34286,Ordu,34934,Perşembe,34939,Kacalı
221002,2097953,Sale,Yazlık,Konut,230000,TRY,230000,TRY,2,1,2 + 1,80,10423,Aydın,10576,Didim,10579,Efeler
221003,1802713,Sale,Daire,Konut,209000,TRY,209000,TRY,1,1,1 + 1,65,1,İstanbul,903,Tuzla,913,Evliya Çelebi
221004,2306111,Sale,Daire,Konut,230000,TRY,230000,TRY,2,1,2 + 1,75,1,İstanbul,998,Zeytinburnu,1011,Merkezefendi
221005,1789736,Sale,Villa,Konut,1600000,TRY,1600000,TRY,8,1,8 + 1,550,5092,Bursa,5776,Nilüfer,5843,Çamlıca
221006,2186162,Sale,Daire,Konut,520000,TRY,520000,TRY,2,1,2 + 1,95,1,İstanbul,625,Maltepe,630,Bağlarbaşı
221007,2075894,Sale,Müstakil Ev,Konut,290000,TRY,290000,TRY,2,1,2 + 1,194,14264,Çanakkale,14441,Ezine,56575,Geyikli Bld. (Hürriyet)
221008,1800705,Rent,Daire,Konut,1400,TRY,1400,TRY,2,1,2 + 1,102,1,İstanbul,131,Başakşehir,141,Bahçeşehir 2. Kısım
221009,1798628,Sale,Daire,Konut,118000,TRY,118000,TRY,3,1,3 + 1,110,1012,Ankara,2419,Sincan,2428,Akşemsettin
221010,1939260,Rent,Daire,Konut,1800,TRY,1800,TRY,3,1,3 + 1,160,3960,Antalya,4947,Muratpaşa,4948,Çağlayan
221011,2064217,Rent,Daire,Konut,1300,TRY,1300,TRY,3,1,3 + 1,125,1,İstanbul,625,Maltepe,641,Girne
221012,2093757,Sale,Daire,Konut,690000,TRY,690000,TRY,3,1,3 + 1,130,1,İstanbul,448,Fatih,472,İskenderpaşa
221013,2147697,Rent,Daire,Konut,1200,TRY,1200,TRY,3,1,3 + 1,150,17102,Düzce,17250,Düzce Merkez,70161,Cedidiye
221014,1924026,Rent,Dükkan / Mağaza,İşyeri,95000,TRY,95000,TRY,,,,135,1,İstanbul,67,Avcılar,69,Cihangir
221015,1533427,Sale,Daire,Konut,129000,TRY,129000,TRY,2,1,2 + 1,100,3960,Antalya,4574,Kepez,4599,Güneş
221016,1178470,Sale,Villa,Konut,790000,TRY,790000,TRY,4,1,4 + 1,250,32637,Muğla,32746,Fethiye,32768,Babataşı
221017,1629973,Sale,Daire,Konut,280000,TRY,280000,TRY,3,1,3 + 1,140,1,İstanbul,229,Beylikdüzü,232,Cumhuriyet
221018,1386008,Rent,Daire,Konut,1250,TRY,1250,TRY,3,1,3 + 1,170,6826,Adana,6995,Çukurova,6996,Belediye Evleri
221019,1095025,Sale,Daire,Konut,120000,TRY,120000,TRY,2,1,2 + 1,90,19584,Eskişehir,19836,Odunpazarı,19851,Ihlamurkent
221020,1473517,Sale,Daire,Konut,1750000,TRY,1750000,TRY,7,2,7 + 2,300,11210,Balıkesir,11211,Ayvalık,11216,Sefa Çamlık
221021,1196129,Sale,Villa,Konut,9816000,TRY,9816000,TRY,4,2,4 + 2,305,2554,İzmir,3921,Urla,3940,Yelaltı
221022,1491817,Sale,Daire,Konut,175500,TRY,175500,TRY,3,1,3 + 1,130,13752,Bolu,13823,Bolu Merkez,72327,Akpınar
221023,1591019,Sale,Daire,Konut,273000,TRY,273000,TRY,3,1,3 + 1,118,1,İstanbul,131,Başakşehir,137,Kayabaşı
221024,1696378,Sale,Cafe / Restoran / Bar,İşyeri,70000,TRY,70000,TRY,,,,250,1,İstanbul,644,Pendik,675,Yeşilbağlar
221025,1890995,Sale,Daire,Konut,199000,TRY,199000,TRY,2,1,2 + 1,100,40596,Tekirdağ,40626,Çorlu,40635,Nusratiye
221026,1766194,Sale,Daire,Konut,280000,TRY,280000,TRY,2,1,2 + 1,75,1,İstanbul,131,Başakşehir,136,Güvercintepe
221027,1985619,Sale,Müstakil Ev,Konut,535000,TRY,535000,TRY,3,1,3 + 1,125,1,İstanbul,448,Fatih,452,Şehremini
221028,1645779,Rent,Daire,Konut,2000,TRY,2000,TRY,3,1,3 + 1,130,1,İstanbul,525,Güngören,529,Tozkoparan
221029,1661056,Sale,Daire,Konut,460000,TRY,460000,TRY,2,1,2 + 1,86,1,İstanbul,601,Küçükçekmece,603,Atakent
221030,1462787,Sale,Konut İmarlı,Arsa,50000,TRY,50000,TRY,,,,31,1,İstanbul,871,Sultanbeyli,882,Mimar Sinan
221031,1634555,Sale,Daire,Konut,88000,TRY,88000,TRY,1,1,1 + 1,60,40596,Tekirdağ,40626,Çorlu,40634,Kemalettin
221032,617293,Sale,Daire,Konut,119000,TRY,119000,TRY,3,1,3 + 1,120,1012,Ankara,1912,Keçiören,1921,Kuşcağız
221033,1618584,Sale,Dükkan / Mağaza,İşyeri,2250000,TRY,2250000,TRY,,,,170,1,İstanbul,537,Kadıköy,538,Göztepe
221034,1823258,Sale,Villa,Konut,195000,TRY,195000,TRY,3,1,3 + 1,140,35966,Sakarya,36519,Kocaali,36525,Yalı
221035,1958803,Rent,Daire,Konut,800,TRY,800,TRY,2,1,2 + 1,102,10423,Aydın,11001,Söke,11004,Cumhuriyet
221036,1941525,Sale,Daire,Konut,490000,TRY,490000,TRY,3,1,3 + 1,170,11210,Balıkesir,11304,Bandırma,11313,Paşakent
221037,1267011,Sale,Konut İmarlı,Arsa,55000,TRY,55000,TRY,,,,255,1,İstanbul,806,Silivri,69746,Mimar Sinan
221038,1463316,Sale,Daire,Konut,450000,TRY,450000,TRY,4,1,4 + 1,190,1012,Ankara,1912,Keçiören,1952,Sancaktepe
221039,1220725,Sale,Daire,Konut,550000,TRY,550000,TRY,2,1,2 + 1,90,32637,Muğla,32638,Bodrum,32702,Yalıkavak
221040,2015391,Rent,Daire,Konut,2000,TRY,2000,TRY,3,1,3 + 1,95,1,İstanbul,101,Bahçelievler,104,Bahçelievler
221041,1640409,Sale,Daire,Konut,400000,TRY,400000,TRY,3,1,3 + 1,190,6826,Adana,7452,Seyhan,7528,Gürselpaşa
221042,949352,Sale,Konut İmarlı,Arsa,75500,TRY,75500,TRY,,,,151,1,İstanbul,8,Arnavutköy,9,Adnan Menderes
221043,1462319,Sale,Dükkan / Mağaza,İşyeri,1100000,TRY,1100000,TRY,,,,550,31676,Mersin,32049,Mezitli,32060,Viranşehir
221044,2128200,Sale,Daire,Konut,400000,TRY,400000,TRY,3,2,3 + 2,192,1,İstanbul,67,Avcılar,70,Denizköşkler
221045,1784220,Sale,Villa,Konut,1700000,TRY,1700000,TRY,3,1,3 + 1,180,32637,Muğla,32638,Bodrum,32646,Torba
221046,1855012,Sale,Dükkan / Mağaza,İşyeri,70000,TRY,70000,TRY,,,,22,32637,Muğla,32733,Datça,32741,Kızlan
221047,2104259,Sale,Daire,Konut,325000,TRY,325000,TRY,3,1,3 + 1,189,34018,Niğde,34149,Niğde Merkez,70359,Aşağı Kayabaşı
221048,2207766,Sale,Konut İmarlı,Arsa,186000,TRY,186000,TRY,,,,292,35966,Sakarya,36626,Serdivan,36638,Orta
221049,1903428,Sale,Daire,Konut,165000,TRY,165000,TRY,2,1,2 + 1,105,36701,Samsun,36803,Atakum,36826,Yenimahalle
221050,1658235,Sale,Konut + Ticaret,Arsa,1500000,TRY,1500000,TRY,,,,500,1,İstanbul,871,Sultanbeyli,873,Adil
221051,1726084,Rent,Daire,Konut,1600,TRY,1600,TRY,2,1,2 + 1,100,1,İstanbul,49,Ataşehir,61,Fetih
221052,1297842,Sale,Daire,Konut,550000,TRY,550000,TRY,6,2,6 + 2,250,44190,Zonguldak,44415,Ereğli,44479,Süleymanlar
221053,1544444,Sale,Daire,Konut,235000,TRY,235000,TRY,3,1,3 + 1,127,41649,Trabzon,41650,Akçaabat,41712,Yaylacık
221054,1616919,Sale,Rezidans,Konut,190000,TRY,190000,TRY,1,1,1 + 1,50,3960,Antalya,4641,Konyaaltı,4647,Liman
221055,1122025,Sale,Daire,Konut,245000,TRY,245000,TRY,3,1,3 + 1,130,1,İstanbul,394,Esenyurt,405,İncirtepe
221056,2041883,Sale,Daire,Konut,82000,TRY,82000,TRY,1,1,1 + 1,60,19584,Eskişehir,20081,Tepebaşı,20132,Şirintepe
221057,2031239,Sale,Daire,Konut,200000,TRY,200000,TRY,1,1,1 + 1,60,3960,Antalya,4947,Muratpaşa,4950,Güzeloba
221058,2273772,Rent,Daire,Konut,1300,TRY,1300,TRY,1,1,1 + 1,77,1,İstanbul,131,Başakşehir,133,Başakşehir
221059,1825635,Sale,Tarla,Arsa,80000,TRY,80000,TRY,,,,5600,11210,Balıkesir,11304,Bandırma,11339,Dedeoba
221060,1618435,Sale,Daire,Konut,320000,TRY,320000,TRY,2,1,2 + 1,100,2554,İzmir,2589,Balçova,2596,Fevzi Çakmak
221061,1959902,Sale,Daire,Konut,720000,TRY,720000,TRY,4,1,4 + 1,200,6826,Adana,6995,Çukurova,7004,Kurttepe
221062,2197511,Sale,Bahçe,Arsa,375000,TRY,375000,TRY,,,,15000,34286,Ordu,35185,Altınordu,35285,Yıldızlı
221063,2131037,Sale,Daire,Konut,124000,TRY,124000,TRY,1,1,1 + 1,65,10423,Aydın,10576,Didim,10582,Cumhuriyet
221064,1368347,Sale,Müstakil Ev,Konut,450000,TRY,450000,TRY,4,1,4 + 1,250,10423,Aydın,10831,Kuşadası,10853,Davutlar
221065,2230525,Sale,Daire,Konut,1535000,TRY,1535000,TRY,3,2,3 + 2,250,1,İstanbul,113,Bakırköy,118,Kartaltepe
221066,1732693,Sale,Daire,Konut,520000,TRY,520000,TRY,2,1,2 + 1,125,1,İstanbul,49,Ataşehir,60,Esatpaşa
221067,1744164,Sale,Müstakil Ev,Konut,320000,TRY,320000,TRY,2,1,2 + 1,228,6253,Kocaeli,6320,Derince,6328,Sırrıpaşa
221068,1860598,Rent,Komple Bina,Konut,12000,TRY,12000,TRY,,,,1000,19584,Eskişehir,19836,Odunpazarı,19840,Akarbaşı
221069,2045192,Sale,Daire,Konut,1550000,TRY,1550000,TRY,3,1,3 + 1,170,1,İstanbul,537,Kadıköy,541,Suadiye
221070,2065915,Sale,Daire,Konut,113000,TRY,113000,TRY,2,1,2 + 1,85,3960,Antalya,4574,Kepez,4632,Varsak Karşıyaka
221071,1541252,Sale,Daire,Konut,270000,TRY,270000,TRY,3,1,3 + 1,120,10423,Aydın,10831,Kuşadası,10848,Cumhuriyet
221072,1138422,Sale,Daire,Konut,235000,TRY,235000,TRY,3,1,3 + 1,150,1012,Ankara,2228,Polatlı,2235,İstiklal
221073,2101659,Sale,Daire,Konut,179000,TRY,179000,TRY,3,1,3 + 1,145,1012,Ankara,1912,Keçiören,1959,Bağlum Güzelyurt
221074,1333411,Sale,Dükkan / Mağaza,İşyeri,1195000,TRY,1195000,TRY,,,,660,11210,Balıkesir,12382,Karesi,12392,Kayabey
221075,1492985,Sale,Daire,Konut,238000,TRY,238000,TRY,2,1,2 + 1,100,1,İstanbul,926,Ümraniye,74403,Armağanevler
221076,2179480,Sale,Daire,Konut,235000,TRY,235000,TRY,3,1,3 + 1,145,3960,Antalya,4947,Muratpaşa,4981,Kızıltoprak
221077,1602228,Sale,Daire,Konut,133000,TRY,133000,TRY,2,1,2 + 1,105,40596,Tekirdağ,40626,Çorlu,74439,Şeyh Sinan
221078,1958894,Sale,Daire,Konut,210000,TRY,210000,TRY,2,1,2 + 1,115,1,İstanbul,887,Sultangazi,891,Cebeci
221079,2274565,Sale,Daire,Konut,390000,TRY,390000,TRY,5,2,5 + 2,220,1,İstanbul,644,Pendik,653,Yayalar
221080,1243849,Sale,Daire,Konut,140000,TRY,140000,TRY,2,1,2 + 1,90,39689,Sinop,39791,Sinop Merkez,66344,Zeytinlik
221081,2182804,Sale,Daire,Konut,288000,TRY,288000,TRY,3,1,3 + 1,145,3960,Antalya,4065,Alanya,4098,Şekerhane
221082,1519627,Sale,Daire,Konut,170000,TRY,170000,TRY,3,1,3 + 1,120,1012,Ankara,1565,Etimesgut,1570,İstasyon
221083,2247384,Sale,Daire,Konut,282000,TRY,282000,TRY,2,1,2 + 1,115,32637,Muğla,32886,Köyceğiz,32887,Gelişim
221084,1955856,Sale,Daire,Konut,345000,TRY,345000,TRY,3,1,3 + 1,110,1,İstanbul,377,Esenler,74401,Davutpaşa
221085,1930667,Sale,Villa,Konut,385000,TRY,385000,TRY,3,1,3 + 1,160,10423,Aydın,10831,Kuşadası,10844,Yavansu
221086,2065768,Rent,Cafe / Restoran / Bar,İşyeri,39000,TRY,39000,TRY,,,,60,40596,Tekirdağ,40626,Çorlu,40634,Kemalettin
221087,2210873,Sale,Daire,Konut,300000,TRY,300000,TRY,3,1,3 + 1,125,29689,Manisa,30838,Yunusemre,30862,Yeni Mahalle
221088,2152224,Rent,Cafe / Restoran / Bar,İşyeri,600,TRY,600,TRY,,,,38,5092,Bursa,5969,Osmangazi,69718,Kayıhan
221089,2176734,Sale,Daire,Konut,235000,TRY,235000,TRY,3,1,3 + 1,130,1,İstanbul,394,Esenyurt,405,İncirtepe
221090,1495621,Sale,Daire,Konut,589000,TRY,589000,TRY,5,1,5 + 1,190,1,İstanbul,101,Bahçelievler,104,Bahçelievler
221091,1753150,Sale,Daire,Konut,530000,TRY,530000,TRY,5,1,5 + 1,240,6826,Adana,7452,Seyhan,7528,Gürselpaşa
221092,2221431,Sale,Daire,Konut,475000,TRY,475000,TRY,3,1,3 + 1,125,2554,İzmir,2860,Bornova,2862,Ergene
221093,2032547,Sale,Dükkan / Mağaza,İşyeri,259000,TRY,259000,TRY,,,,150,1,İstanbul,644,Pendik,652,Velibaba
221094,1910002,Sale,Turistik Arsa,Arsa,700000,TRY,700000,TRY,,,,1600,14264,Çanakkale,14532,Çanakkale Merkez,66851,Erenköy Köyü
221095,2197263,Sale,Zeytinlik,Arsa,980000,TRY,980000,TRY,,,,148000,29689,Manisa,30335,Salihli,30399,Gökeyüp
221096,1318392,Sale,Daire,Konut,2100000,TRY,2100000,TRY,2,1,2 + 1,75,32637,Muğla,32638,Bodrum,32640,Yokuşbaşı
221097,2294377,Sale,Villa,Konut,600000,TRY,600000,TRY,4,1,4 + 1,250,26025,Kırıkkale,26116,Kırıkkale Merkez,70960,Osmangazi
221098,2240092,Sale,Daire,Konut,130000,TRY,130000,TRY,2,1,2 + 1,95,1,İstanbul,394,Esenyurt,399,Pınar
221099,748996,Sale,Daire,Konut,190000,TRY,190000,TRY,3,1,3 + 1,185,20173,Gaziantep,20627,Şahinbey,20780,Kolejtepe
221100,1692253,Sale,Daire,Konut,215000,TRY,215000,TRY,3,1,3 + 1,160,31676,Mersin,32601,Yenişehir,32623,İnönü
221101,1177811,Sale,Daire,Konut,240000,TRY,240000,TRY,2,1,2 + 1,100,43620,Yalova,43645,Çiftlikköy,43647,Çiftlik
221102,1810886,Rent,Daire,Konut,500,TRY,500,TRY,1,1,1 + 1,50,2554,İzmir,2907,Buca,2929,İnkılap
