no,id,listingType,type,parentType,price,currency,basePrice,baseCurrency,roomCount,livingRoomCount,roomSlug,size,cityId,cityName,countyId,countyName,districtId,districtName
98000,2172702,Sale,Daire,Konut,160000,TRY,160000,TRY,2,1,2 + 1,100,1,İstanbul,682,Sancaktepe,700,Yunus Emre
98001,1596443,Sale,Daire,Konut,90000,TRY,90000,TRY,2,1,2 + 1,45,13958,Burdur,14138,Burdur Merkez,70441,Emek
98002,1673961,Rent,Daire,Konut,925,TRY,925,TRY,3,1,3 + 1,120,1012,Ankara,1565,Etimesgut,1592,Ahi Mesut
98003,1786533,Sale,Rezidans,Konut,825000,TRY,825000,TRY,1,1,1 + 1,71,1,İstanbul,843,Şişli,855,Cumhuriyet
98004,1762112,Rent,Daire,Konut,500,TRY,500,TRY,3,1,3 + 1,150,3960,Antalya,4574,Kepez,4585,Demirel
98005,2009671,Sale,Villa,Konut,1950000,TRY,1950000,TRY,6,3,6 + 3,450,25014,Kayseri,25366,Melikgazi,25385,Erenköy
98006,1862340,Sale,Daire,Konut,580000,TRY,580000,TRY,6,2,6 + 2,280,1,İstanbul,229,Beylikdüzü,236,Adnan Kahveci
98007,2066371,Sale,Müstakil Ev,Konut,220000,TRY,220000,TRY,3,1,3 + 1,265,9494,Aksaray,9593,Aksaray Merkez,70710,Yavuz Sultan Selim
98008,1151636,Sale,Daire,Konut,580000,TRY,580000,TRY,3,1,3 + 1,170,2554,İzmir,3183,Karşıyaka,3193,Nergiz
98009,1916555,Sale,Daire,Konut,160000,TRY,160000,TRY,3,1,3 + 1,90,35966,Sakarya,36419,Karasu,36423,Aziziye
98010,1877950,Sale,Tarla,Arsa,1500000,TRY,1500000,TRY,,,,8624,11210,Balıkesir,11609,Edremit,44964,İkizçay
98011,1439610,Sale,Daire,Konut,220000,TRY,220000,TRY,2,1,2 + 1,88,6253,Kocaeli,6294,Çayırova,6301,Özgürlük
98012,1190779,Sale,Ofis,İşyeri,75000,TRY,75000,TRY,,,,55,6826,Adana,7452,Seyhan,7537,Beşocak
98013,1579139,Sale,Daire,Konut,285000,TRY,285000,TRY,3,1,3 + 1,107,34286,Ordu,35185,Altınordu,35225,Şahincili
98014,2172368,Sale,Daire,Konut,130000,TRY,130000,TRY,2,1,2 + 1,80,26208,Kırklareli,26331,Kırklareli Merkez,70563,Bademlik
98015,1529243,Sale,Daire,Konut,320000,TRY,320000,TRY,3,1,3 + 1,160,36701,Samsun,36803,Atakum,36819,Esenevler
98016,2013505,Sale,Daire,Konut,310000,TRY,310000,TRY,3,1,3 + 1,185,20173,Gaziantep,20627,Şahinbey,20816,Yeditepe
