no,id,listingType,type,parentType,price,currency,basePrice,baseCurrency,roomCount,livingRoomCount,roomSlug,size,cityId,cityName,countyId,countyName,districtId,districtName
443000,1912340,Rent,Daire,Konut,800,TRY,800,TRY,3,1,3 + 1,130,14264,Çanakkale,14471,Gelibolu,14474,Yazıcızade
443001,1700157,Sale,Daire,Konut,140000,TRY,140000,TRY,2,1,2 + 1,100,8229,Afyonkarahisar,8669,Afyonkarahisar Merkez,70444,Ali İhsan Paşa
443002,1738192,Sale,Muhtelif Arsa,Arsa,875000,TRY,875000,TRY,,,,3340,1,İstanbul,742,Şile,749,Akçakese
443003,1430792,Sale,Zeytinlik,Arsa,160000,TRY,160000,TRY,,,,5200,5092,Bursa,5361,İznik,5398,Yürükler
443004,1813602,Sale,Daire,Konut,345000,TRY,345000,TRY,2,1,2 + 1,100,1,İstanbul,625,Maltepe,641,Girne
443005,2015008,Daily Rent,Daire,Konut,49,TRY,49,TRY,2,1,2 + 1,80,1,İstanbul,229,Beylikdüzü,232,Cumhuriyet
443006,2131583,Sale,Üretim Çiftliği,İşyeri,890000,TRY,890000,TRY,,,,4700,8229,Afyonkarahisar,8596,İhsaniye,66432,Karacaahmet Köyü
443007,1731768,Sale,Daire,Konut,120000,TRY,120000,TRY,2,1,2 + 1,98,17102,Düzce,17250,Düzce Merkez,70134,Cumhuriyet
443008,1992294,Rent,Daire,Konut,1500,TRY,1500,TRY,2,1,2 + 1,83,1,İstanbul,101,Bahçelievler,103,Şirinevler
443009,1883295,Sale,Daire,Konut,150000,TRY,150000,TRY,2,1,2 + 1,100,1,İstanbul,229,Beylikdüzü,235,Yakuplu
443010,2055242,Sale,Daire,Konut,300000,TRY,300000,TRY,3,1,3 + 1,170,10423,Aydın,10909,Nazilli,10925,Yeşil
443011,1913302,Rent,Daire,Konut,700,TRY,700,TRY,3,1,3 + 1,150,3960,Antalya,4574,Kepez,4614,Teomanpaşa
