no,id,listingType,type,parentType,price,currency,basePrice,baseCurrency,roomCount,livingRoomCount,roomSlug,size,cityId,cityName,countyId,countyName,districtId,districtName
373000,2098004,Sale,Dükkan / Mağaza,İşyeri,39000,TRY,39000,TRY,,,,85,1,İstanbul,78,Bağcılar,91,Göztepe
373001,1670342,Rent,Daire,Konut,600,TRY,600,TRY,3,1,3 + 1,100,26630,Konya,27935,Selçuklu,28039,Bosna Hersek
373002,1754115,Rent,Daire,Konut,750,TRY,750,TRY,2,1,2 + 1,100,5092,Bursa,6182,Yıldırım,6207,Meydancık
373003,995610,Sale,Müstakil Ev,Konut,950000,TRY,950000,TRY,3,2,3 + 2,165,32637,Muğla,32886,Köyceğiz,32909,Toparlar
373004,1932503,Sale,Villa,Konut,680000,TRY,680000,TRY,4,1,4 + 1,280,10423,Aydın,10576,Didim,10583,Çamlık
373005,2261036,Sale,Daire,Konut,145000,TRY,145000,TRY,3,1,3 + 1,175,2554,İzmir,2684,Bergama,2827,Atatürk
373006,1565800,Rent,Daire,Konut,1500,TRY,1500,TRY,2,1,2 + 1,100,32637,Muğla,32917,Marmaris,32923,Kemeraltı
373007,1272725,Sale,Villa,Konut,1650000,TRY,1650000,TRY,2,1,2 + 1,155,3960,Antalya,4555,Kemer,4556,Arslanbucak
373008,1848760,Rent,Daire,Konut,550,TRY,550,TRY,3,1,3 + 1,105,17102,Düzce,17250,Düzce Merkez,70035,Demetevler
373009,1982666,Sale,Daire,Konut,250000,TRY,250000,TRY,3,1,3 + 1,160,29689,Manisa,30335,Salihli,30448,Sağlık
373010,2050890,Sale,Tarla,Arsa,450000,TRY,450000,TRY,,,,3750,1,İstanbul,314,Çatalca,332,Elbasan
373011,2081632,Rent,Daire,Konut,850,TRY,850,TRY,1,1,1 + 1,80,6826,Adana,7452,Seyhan,7495,Yenibaraj
373012,1323002,Sale,Daire,Konut,165000,TRY,165000,TRY,3,1,3 + 1,150,35966,Sakarya,35967,Adapazarı,36023,Yenigün
373013,1752785,Sale,Daire,Konut,159500,TRY,159500,TRY,2,1,2 + 1,95,1,İstanbul,394,Esenyurt,74543,Bağlarçeşme
373014,1581191,Sale,Daire,Konut,310000,TRY,310000,TRY,2,1,2 + 1,90,1,İstanbul,525,Güngören,533,Mareşal Çakmak
373015,1810344,Sale,Daire,Konut,300000,TRY,300000,TRY,4,2,4 + 2,180,1,İstanbul,394,Esenyurt,59128,Necip Fazıl Kısakürek
373016,2235810,Rent,Daire,Konut,14750,TRY,14750,TRY,3,1,3 + 1,190,6826,Adana,6995,Çukurova,7001,Huzurevleri
373017,1403763,Sale,Butik Otel,Turizm,3500000,TRY,3500000,TRY,,,,250,33740,Nevşehir,33968,Ürgüp,62481,Ortahisar Bld. (Esentepe)
373018,375851,Sale,Villa,Konut,5220000,TRY,5220000,TRY,5,3,5 + 3,400,1,İstanbul,580,Kartal,74763,Yakacık Çarşı
373019,2288048,Rent,Daire,Konut,650,TRY,650,TRY,1,1,1 + 1,70,14264,Çanakkale,14532,Çanakkale Merkez,70772,Kepez Bld. (Cumhuriyet)
373020,1749551,Sale,Daire,Konut,440000,TRY,440000,TRY,4,1,4 + 1,200,31676,Mersin,32049,Mezitli,32061,Merkez
373021,1074921,Sale,Daire,Konut,277500,TRY,277500,TRY,3,1,3 + 1,126,1,İstanbul,229,Beylikdüzü,235,Yakuplu
373022,1874098,Rent,Daire,Konut,1600,TRY,1600,TRY,2,1,2 + 1,90,1,İstanbul,926,Ümraniye,74403,Armağanevler
373023,1980810,Sale,Daire,Konut,175000,TRY,175000,TRY,2,1,2 + 1,140,5092,Bursa,6182,Yıldırım,6205,Kurtoğlu
373024,1432366,Rent,Daire,Konut,2300,TRY,2300,TRY,3,1,3 + 1,165,1,İstanbul,537,Kadıköy,538,Göztepe
373025,2092250,Sale,Daire,Konut,200000,TRY,200000,TRY,3,1,3 + 1,115,34286,Ordu,35185,Altınordu,35228,Karşıyaka
373026,781363,Sale,Daire,Konut,365000,TRY,365000,TRY,2,1,2 + 1,75,1,İstanbul,926,Ümraniye,947,Namık Kemal
373027,1532493,Sale,Daire,Konut,270000,TRY,270000,TRY,2,1,2 + 1,90,19584,Eskişehir,19836,Odunpazarı,19854,Kırmızıtoprak
373028,2020348,Rent,Rezidans,Konut,800,TRY,800,TRY,1,0,1 + 0,70,1,İstanbul,394,Esenyurt,47433,Barbaros Hayrettin Paşa
373029,1756271,Rent,Daire,Konut,1100,TRY,1100,TRY,2,1,2 + 1,85,1,İstanbul,49,Ataşehir,55,İnönü
373030,1697503,Sale,Daire,Konut,155000,TRY,155000,TRY,3,1,3 + 1,125,36701,Samsun,37367,İlkadım,37414,Yenidoğan
373031,2050553,Sale,Rezidans,Konut,450000,TRY,450000,TRY,2,1,2 + 1,70,1,İstanbul,560,Kağıthane,562,Çeliktepe
373032,1389239,Sale,Tarla,Arsa,185000,TRY,185000,TRY,,,,2760,2554,İzmir,3529,Menemen,3581,Doğa
373033,2092956,Sale,Daire,Konut,400000,TRY,400000,TRY,2,1,2 + 1,126,1,İstanbul,625,Maltepe,627,Altıntepe
373034,1857056,Sale,Tarla,Arsa,82000,TRY,82000,TRY,,,,415,1,İstanbul,314,Çatalca,339,Kabakça
373035,1810592,Sale,Daire,Konut,550000,TRY,550000,TRY,3,1,3 + 1,140,2554,İzmir,3366,Konak,3390,Göztepe
373036,2239719,Sale,Daire,Konut,175000,TRY,175000,TRY,2,1,2 + 1,90,1,İstanbul,601,Küçükçekmece,605,Cumhuriyet
373037,1360182,Sale,Daire,Konut,120000,TRY,120000,TRY,1,1,1 + 1,50,36701,Samsun,36803,Atakum,36826,Yenimahalle
373038,1752462,Rent,Daire,Konut,1100,TRY,1100,TRY,2,1,2 + 1,95,1,İstanbul,101,Bahçelievler,74397,Kocasinan Merkez
373039,1496962,Sale,Daire,Konut,118000,TRY,118000,TRY,1,1,1 + 1,60,36701,Samsun,36803,Atakum,36823,Körfez
373040,1589601,Rent,Depo / Antrepo,İşyeri,70000,TRY,70000,TRY,,,,2500,1,İstanbul,101,Bahçelievler,74749,Yenibosna Merkez
373041,1945480,Sale,Daire,Konut,450000,TRY,450000,TRY,2,1,2 + 1,100,1,İstanbul,241,Beyoğlu,275,Piri Paşa
373042,2170492,Sale,Daire,Konut,220000,TRY,220000,TRY,2,1,2 + 1,80,1,İstanbul,113,Bakırköy,118,Kartaltepe
373043,2186829,Sale,Daire,Konut,250000,TRY,250000,TRY,2,1,2 + 1,85,10423,Aydın,10576,Didim,10579,Efeler
373044,1530702,Rent,Daire,Konut,1850,TRY,1850,TRY,1,1,1 + 1,72,1,İstanbul,703,Sarıyer,713,Ayazağa
373045,1996060,Sale,Dükkan / Mağaza,İşyeri,600000,TRY,600000,TRY,,,,50,25014,Kayseri,25691,Talas,25705,Yenidoğan
373046,1538615,Sale,Dükkan / Mağaza,İşyeri,800000,TRY,800000,TRY,,,,160,1,İstanbul,682,Sancaktepe,694,Meclis
373047,2119936,Rent,Daire,Konut,1200,TRY,1200,TRY,2,1,2 + 1,105,1,İstanbul,887,Sultangazi,895,İsmetpaşa
373048,1617945,Rent,Daire,Konut,750,TRY,750,TRY,2,1,2 + 1,70,41649,Trabzon,42456,Ortahisar,42559,Pelitli
373049,405301,Sale,Daire,Konut,455000,TRY,455000,TRY,3,1,3 + 1,170,1,İstanbul,580,Kartal,597,Yukarı
373050,1372956,Sale,Müstakil Ev,Konut,400000,TRY,400000,TRY,5,1,5 + 1,228,1,İstanbul,806,Silivri,74637,Gümüşyaka
373051,1775454,Sale,Daire,Konut,206000,TRY,206000,TRY,2,1,2 + 1,110,35966,Sakarya,36626,Serdivan,36640,Vatan
373052,1546299,Sale,Daire,Konut,155000,TRY,155000,TRY,3,1,3 + 1,128,1012,Ankara,2419,Sincan,74484,Mareşal Çakmak
373053,1204327,Sale,Tarla,Arsa,80000,TRY,80000,TRY,,,,100,11210,Balıkesir,11304,Bandırma,11354,Yeniyenice
373054,1103427,Rent,Rezidans,Konut,3500,TRY,3500,TRY,1,1,1 + 1,72,1,İstanbul,843,Şişli,864,Merkez
373055,1492689,Rent,Daire,Konut,1600,TRY,1600,TRY,2,1,2 + 1,90,1,İstanbul,101,Bahçelievler,74405,Fevzi Çakmak
373056,1136038,Sale,Daire,Konut,68000,TRY,68000,TRY,2,1,2 + 1,80,25014,Kayseri,25245,Kocasinan,25357,Sümer
373057,1715429,Sale,Villa,Konut,950000,TRY,950000,TRY,4,2,4 + 2,240,2554,İzmir,3161,Karaburun,3164,İskele
373058,1964752,Sale,Villa,Konut,500000,TRY,500000,TRY,5,1,5 + 1,700,11210,Balıkesir,11666,Erdek,11670,Sahil
373059,1022615,Sale,Daire,Konut,470000,TRY,470000,TRY,4,3,4 + 3,199,39689,Sinop,39791,Sinop Merkez,70819,Gelincik
373060,1408540,Sale,Tarla,Arsa,272000,TRY,272000,TRY,,,,272,1,İstanbul,8,Arnavutköy,28,Sazlıbosna
373061,2283089,Sale,Villa,Konut,2950000,TRY,2950000,TRY,4,1,4 + 1,230,1,İstanbul,67,Avcılar,77,Yeşilkent
373062,1449558,Sale,Daire,Konut,225000,TRY,225000,TRY,3,1,3 + 1,128,17102,Düzce,17250,Düzce Merkez,70517,Aziziye
373063,1364858,Sale,Daire,Konut,210000,TRY,210000,TRY,2,1,2 + 1,109,5092,Bursa,5776,Nilüfer,5848,Esentepe
373064,2258626,Rent,Daire,Konut,600,TRY,600,TRY,3,1,3 + 1,120,1012,Ankara,1912,Keçiören,1925,Ufuktepe
373065,1954340,Sale,Zeytinlik,Arsa,70000,TRY,70000,TRY,,,,738,2554,İzmir,3088,Güzelbahçe,3098,Çamlı
373066,1558123,Sale,Daire,Konut,265000,TRY,265000,TRY,2,1,2 + 1,120,1,İstanbul,67,Avcılar,69,Cihangir
373067,2127913,Sale,Daire,Konut,330000,TRY,330000,TRY,3,1,3 + 1,120,1,İstanbul,101,Bahçelievler,103,Şirinevler
373068,2230088,Sale,Daire,Konut,196000,TRY,196000,TRY,1,1,1 + 1,70,1,İstanbul,560,Kağıthane,561,Çağlayan
373069,1463919,Sale,Daire,Konut,270000,TRY,270000,TRY,2,1,2 + 1,85,32637,Muğla,32638,Bodrum,32687,Güvercinlik
373070,1935947,Sale,Daire,Konut,215000,TRY,215000,TRY,3,1,3 + 1,155,26630,Konya,27615,Karatay,27625,Hacısadık
373071,1390054,Sale,Daire,Konut,590000,TRY,590000,TRY,3,1,3 + 1,135,1,İstanbul,131,Başakşehir,133,Başakşehir
373072,2130015,Sale,Daire,Konut,293000,TRY,293000,TRY,3,1,3 + 1,140,31676,Mersin,32049,Mezitli,32061,Merkez
373073,1424814,Sale,Daire,Konut,650000,TRY,650000,TRY,3,1,3 + 1,110,32637,Muğla,32638,Bodrum,32639,Ortakentyahşi
373074,2026242,Rent,Müstakil Ev,Konut,650,TRY,650,TRY,2,1,2 + 1,75,1,İstanbul,507,Gaziosmanpaşa,517,Yıldıztabya
373075,1730992,Rent,Daire,Konut,1200,TRY,1200,TRY,3,1,3 + 1,120,1,İstanbul,229,Beylikdüzü,235,Yakuplu
373076,1258422,Sale,Daire,Konut,175000,TRY,175000,TRY,,,,140,36701,Samsun,36803,Atakum,36819,Esenevler
373077,2266983,Sale,Daire,Konut,115000,TRY,115000,TRY,3,1,3 + 1,120,5092,Bursa,5545,Kestel,5558,Derekızık
373078,2036284,Sale,Daire,Konut,155000,TRY,155000,TRY,2,1,2 + 1,95,3960,Antalya,4574,Kepez,4622,Yükseliş
373079,622920,Sale,Daire,Konut,340000,TRY,340000,TRY,4,1,4 + 1,170,1,İstanbul,871,Sultanbeyli,873,Adil
373080,2171918,Sale,Villa,Konut,1250000,TRY,1250000,TRY,9,1,9 + 1,400,6826,Adana,6995,Çukurova,7004,Kurttepe
373081,1415800,Sale,Daire,Konut,485000,TRY,485000,TRY,4,2,4 + 2,210,1,İstanbul,887,Sultangazi,901,Malkoçoğlu
373082,2027235,Sale,Çok Amaçlı,Arsa,86000,TRY,86000,TRY,,,,650,6253,Kocaeli,6560,Kandıra,6626,Çamkonak
373083,1907781,Sale,Daire,Konut,245000,TRY,245000,TRY,3,1,3 + 1,165,26630,Konya,27935,Selçuklu,28037,Yazır
373084,1070247,Rent,Daire,Konut,550,TRY,550,TRY,1,1,1 + 1,38,15241,Denizli,15759,Pamukkale,15791,Mehmetçik
373085,2057014,Rent,Daire,Konut,1000,TRY,1000,TRY,3,1,3 + 1,130,1,İstanbul,903,Tuzla,904,Aydınlı
373086,1686788,Sale,Müstakil Ev,Konut,425000,TRY,425000,TRY,3,1,3 + 1,120,6826,Adana,7623,Yüreğir,7706,Yenidoğan
373087,1083235,Sale,Daire,Konut,260000,TRY,260000,TRY,4,1,4 + 1,160,43717,Yozgat,43929,Yozgat Merkez,70740,Bahçeşehir
373088,1600084,Rent,Daire,Konut,800,TRY,800,TRY,2,1,2 + 1,90,19584,Eskişehir,19836,Odunpazarı,19861,Orhangazi
373089,1755948,Rent,Daire,Konut,750,TRY,750,TRY,2,1,2 + 1,115,36701,Samsun,36803,Atakum,36826,Yenimahalle
373090,1836662,Rent,Daire,Konut,1200,TRY,1200,TRY,1,1,1 + 1,55,25014,Kayseri,25691,Talas,25706,Mevlana
373091,620587,Sale,Daire,Konut,125000,TRY,125000,TRY,1,1,1 + 1,60,10423,Aydın,10576,Didim,10579,Efeler
373092,1658225,Sale,Tarla,Arsa,2400000,TRY,2400000,TRY,,,,7346,3960,Antalya,4641,Konyaaltı,4672,Zümrüt
373093,1987701,Sale,Daire,Konut,187000,TRY,187000,TRY,3,1,3 + 1,130,35966,Sakarya,35967,Adapazarı,36000,Tığcılar
373094,2035117,Sale,Zeytinlik,Arsa,435000,TRY,435000,TRY,,,,1800,11210,Balıkesir,11609,Edremit,11650,Güre
373095,2030111,Sale,Daire,Konut,300000,TRY,300000,TRY,2,1,2 + 1,120,1,İstanbul,78,Bağcılar,94,Kirazlı
373096,291488,Sale,Konut İmarlı,Arsa,285000,TRY,285000,TRY,,,,300,1,İstanbul,806,Silivri,807,Alibey
373097,1838552,Sale,Daire,Konut,299000,TRY,299000,TRY,3,1,3 + 1,145,8229,Afyonkarahisar,8669,Afyonkarahisar Merkez,70368,Derviş Paşa
373098,1836242,Sale,Villa,Konut,550000,TRY,550000,TRY,4,1,4 + 1,185,2554,İzmir,3480,Menderes,3487,Çukuraltı
373099,2004268,Rent,Daire,Konut,2275,TRY,2275,TRY,2,1,2 + 1,100,1,İstanbul,843,Şişli,847,Esentepe
373100,1417586,Sale,Villa,Konut,1147000,TRY,1147000,TRY,3,1,3 + 1,135,3960,Antalya,4555,Kemer,4566,Yeni
373101,2072569,Sale,Daire,Konut,215000,TRY,215000,TRY,2,1,2 + 1,120,1,İstanbul,394,Esenyurt,49097,Sultaniye
373102,2255792,Rent,Daire,Konut,750,TRY,750,TRY,2,1,2 + 1,101,11210,Balıkesir,11304,Bandırma,11314,100. Yıl
373103,1812259,Sale,Dükkan / Mağaza,İşyeri,750000,TRY,750000,TRY,,,,159,2554,İzmir,3183,Karşıyaka,3199,Dedebaşı
373104,1897566,Sale,Daire,Konut,179000,TRY,179000,TRY,3,1,3 + 1,130,41649,Trabzon,42456,Ortahisar,42559,Pelitli
373105,1772413,Rent,Rezidans,Konut,2000,TRY,2000,TRY,1,1,1 + 1,48,1,İstanbul,113,Bakırköy,69723,Ataköy 7-8-9-10. Kısım
373106,2238078,Rent,Daire,Konut,12250,TRY,12250,TRY,3,1,3 + 1,140,6826,Adana,6995,Çukurova,7011,Yüzüncüyıl
373107,1632452,Rent,Daire,Konut,1250,TRY,1250,TRY,2,1,2 + 1,130,6826,Adana,6995,Çukurova,7008,Toros
373108,1903578,Rent,Daire,Konut,1000,TRY,1000,TRY,2,1,2 + 1,90,1,İstanbul,66134,Eyüpsultan,66157,Yeşilpınar
373109,2128548,Sale,Daire,Konut,290000,TRY,290000,TRY,3,1,3 + 1,160,41649,Trabzon,42456,Ortahisar,42486,Boztepe
373110,1099594,Sale,Daire,Konut,149000,TRY,149000,TRY,2,1,2 + 1,75,1,İstanbul,78,Bağcılar,74399,Kazım Karabekir
373111,1169186,Sale,Özel Kullanım,Arsa,60000,TRY,60000,TRY,,,,328,17436,Edirne,17517,Keşan,61593,Sazlıdere Köyü
373112,1290124,Sale,Tarla,Arsa,520000,TRY,520000,TRY,,,,800,1,İstanbul,314,Çatalca,329,Çanakça
373113,2279472,Rent,Daire,Konut,3600,TRY,3600,TRY,2,1,2 + 1,120,1,İstanbul,131,Başakşehir,142,İkitelli OSB
373114,1540664,Sale,Daire,Konut,375000,TRY,375000,TRY,2,1,2 + 1,137,6253,Kocaeli,6455,İzmit,6479,Serdar
373115,2243959,Sale,Daire,Konut,205000,TRY,205000,TRY,2,1,2 + 1,85,3960,Antalya,4947,Muratpaşa,4950,Güzeloba
373116,1228157,Sale,Tarla,Arsa,155000,TRY,155000,TRY,,,,860,1,İstanbul,314,Çatalca,345,Örcünlü
